"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1901293","nucleoside phosphate biosynthetic process",45,0.411536069942843,1.5664875981157,0.00984990719955181,0.251687180979593,0.240483201698406,293,"tags=51%, list=31%, signal=37%","245965/25368/24189/171375/298942/81654/641434/289950/170851/83782/24333/298410/117243/116643/25289/171374/361596/65262/191575/292072/690441/94271/25014"
"GO:0034614","cellular response to reactive oxygen species",33,0.448763779321016,1.57765345036501,0.0104318320071846,0.258830382555073,0.247308420124559,252,"tags=42%, list=26%, signal=32%","85383/362245/117254/29338/117287/65179/24786/24787/64371/29271/81683/140654/282819/25524"
"GO:0009611","response to wounding",65,0.370923341026755,1.53100059113865,0.0103237424785907,0.258830382555073,0.247308420124559,127,"tags=26%, list=13%, signal=24%","288001/85383/24936/25728/24440/29338/24588/29409/83613/25459/50568/170851/24786/24832/24787/365216/24586"
"GO:0006396","RNA processing",41,-0.418485317704946,-1.6147155166291,0.010694891755426,0.261566495504133,0.249922733653113,250,"tags=49%, list=26%, signal=38%","64200/116655/292023/29304/117021/140655/140931/266975/161477/29258/27139/691531/362152/317259/122799/362361/361542/114612/29578/117282"
"GO:0031103","axon regeneration",14,0.619136143968942,1.75839053896673,0.0110513469348143,0.263908457555648,0.252160442106171,127,"tags=50%, list=13%, signal=44%","25728/24588/29409/83613/50568/170851/24586"
"GO:0000302","response to reactive oxygen species",50,0.392438024713083,1.53186707627107,0.0110989538224338,0.263908457555648,0.252160442106171,143,"tags=26%, list=15%, signal=23%","85383/362245/117254/24440/29338/50646/24533/117287/65179/24786/24787/64371/94167"
"GO:0019233","sensory perception of pain",11,-0.644886543572408,-1.72050330372177,0.0126915141143541,0.293619894105057,0.280549259369933,259,"tags=73%, list=27%, signal=54%","29254/24520/116590/29237/24412/59073/25297/140908"
"GO:0032388","positive regulation of intracellular transport",32,-0.436569760444766,-1.5904792983171,0.012678688131809,0.293619894105057,0.280549259369933,231,"tags=47%, list=24%, signal=37%","54319/170538/116590/24803/116601/25595/25297/25050/293692/81521/140908/117550/29489/293621/171503"
"GO:0046034","ATP metabolic process",26,0.50440200320137,1.68040346400809,0.0131813763161292,0.300886883376175,0.287492755021259,285,"tags=62%, list=30%, signal=44%","245965/24189/171375/641434/25650/170851/24212/24333/301458/116643/171374/296488/65262/117596/690441/94271"
"GO:0042743","hydrogen peroxide metabolic process",16,0.566164214012848,1.65369027754853,0.0133955863829441,0.301753209047373,0.288320515776942,174,"tags=62%, list=18%, signal=52%","117254/24440/29338/117287/25632/24786/24787/64371/94167/25309"
"GO:1905475","regulation of protein localization to membrane",35,-0.447823569479938,-1.66229916799008,0.0140939096157889,0.305427509648489,0.291831253070433,136,"tags=37%, list=14%, signal=33%","83501/116493/29600/25297/81830/171140/29495/140908/117550/24246/116563/24245/293621"
"GO:0009201","ribonucleoside triphosphate biosynthetic process",18,0.547459263123224,1.66057054883791,0.0139477138286479,0.305427509648489,0.291831253070433,285,"tags=72%, list=30%, signal=52%","245965/24189/171375/641434/170851/83782/24333/116643/171374/65262/191575/690441/94271"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",18,0.547459263123224,1.66057054883791,0.0139477138286479,0.305427509648489,0.291831253070433,285,"tags=72%, list=30%, signal=52%","245965/24189/171375/641434/170851/83782/24333/116643/171374/65262/191575/690441/94271"
"GO:0048260","positive regulation of receptor-mediated endocytosis",12,-0.608112839394601,-1.69357323389266,0.0150863030340316,0.311177720412796,0.297325490359988,148,"tags=58%, list=15%, signal=50%","29337/291145/25387/116563/25751/24232/117282"
"GO:0022900","electron transport chain",35,0.446334101080916,1.5947056587125,0.0150675132140371,0.311177720412796,0.297325490359988,183,"tags=43%, list=19%, signal=36%","60666/289218/298942/252934/681896/316632/117287/100188937/24787/29445/54322/497902/301458/25309/29507"
"GO:0022904","respiratory electron transport chain",33,0.437789878049184,1.53907410416273,0.0147444232467183,0.311177720412796,0.297325490359988,183,"tags=42%, list=19%, signal=36%","60666/289218/298942/252934/681896/316632/117287/100188937/24787/29445/497902/301458/25309/29507"
"GO:0140694","non-membrane-bounded organelle assembly",49,-0.383705422572985,-1.53189465194384,0.0150419285296889,0.311177720412796,0.297325490359988,287,"tags=43%, list=30%, signal=32%","81634/306934/298848/64205/54241/683788/54319/29304/366988/290408/24629/691531/58814/64307/122799/81830/81521/29489/83527/114764/83789"
"GO:0034470","ncRNA processing",17,-0.570894595051769,-1.7694028284782,0.0156921656994245,0.319821281873986,0.305584279409846,237,"tags=53%, list=25%, signal=41%","292023/29304/117021/140655/266975/29258/691531/122799/362361"
"GO:1901136","carbohydrate derivative catabolic process",14,0.602234913119296,1.71038984523821,0.0161932469599135,0.32346969022476,0.309070277059319,159,"tags=43%, list=17%, signal=36%","690660/294292/60666/311422/81743/29443"
"GO:0010594","regulation of endothelial cell migration",17,0.544643778087374,1.62900189196134,0.0162490615416643,0.32346969022476,0.309070277059319,149,"tags=47%, list=16%, signal=40%","363875/25728/24957/50646/25246/25459/308061/292804"
"GO:0071229","cellular response to acid chemical",15,-0.559290475889136,-1.67401900188634,0.0175560805050693,0.330285822249217,0.315582985597198,47,"tags=60%, list=5%, signal=58%","25132/29154/29393/79256/117542/29489/24245/50592/117282"
"GO:0071230","cellular response to amino acid stimulus",15,-0.559290475889136,-1.67401900188634,0.0175560805050693,0.330285822249217,0.315582985597198,47,"tags=60%, list=5%, signal=58%","25132/29154/29393/79256/117542/29489/24245/50592/117282"
"GO:0051168","nuclear export",16,-0.531220140349283,-1.60197298068229,0.0173214649858091,0.330285822249217,0.315582985597198,212,"tags=56%, list=22%, signal=45%","116484/117021/287830/25050/362361/140908/114612/29578/171503"
"GO:0006164","purine nucleotide biosynthetic process",43,0.416679940532067,1.56584845348372,0.0170188939220775,0.330285822249217,0.315582985597198,293,"tags=51%, list=31%, signal=37%","245965/25368/24189/171375/298942/81654/641434/289950/170851/83782/24333/117243/116643/25289/171374/361596/65262/191575/292072/690441/94271/25014"
"GO:0072522","purine-containing compound biosynthetic process",43,0.416679940532067,1.56584845348372,0.0170188939220775,0.330285822249217,0.315582985597198,293,"tags=51%, list=31%, signal=37%","245965/25368/24189/171375/298942/81654/641434/289950/170851/83782/24333/117243/116643/25289/171374/361596/65262/191575/292072/690441/94271/25014"
"GO:0048871","multicellular organismal-level homeostasis",58,0.37434470972977,1.50191660009175,0.0178296108482544,0.331785801871864,0.317016192885438,204,"tags=38%, list=21%, signal=32%","363875/117254/25728/24440/29338/50646/313413/25246/24186/25459/25632/24786/24787/89791/24778/292804/261737/246333/84353/81683/54231/25289"
